The File is from Student_MS
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
161220090 马白 男 2000/1/1 甘肃 兰州 
161220094 涛哥 男 2000/1/1 陕西 咸阳 
161220096 欧阳 男 2000/1/1 福建 晋江 
161220097 戚巨 男 2000/1/1 江苏 泰州 
